Title,Author,Blurb,URL
Disney to Close ‘Star Wars’-Themed Hotel Less Than Two Years After It Opened,Lauren McCarthy,"The planned closure of Galactic Starcruiser, an immersive role-playing attraction, comes as Disney seeks to cut overall costs by more than $5 billion.",https://www.nytimes.com/2023/05/20/business/disney-world-star-wars-galactic-starcruiser.html
"Behind the Scenes, G7 Nations Wrangle Over Ambitious Climate Commitments","Motoko Rich, Lisa Friedman and Jim Tankersley",The U.S. finds itself caught between defending President Biden’s climate change agenda and aiding allies intent on increasing their access to fossil fuels.,https://www.nytimes.com/2023/05/20/world/asia/climate-fossil-fuels-g7.html
DeSantis Lawyers Ask Judge in Disney Case to Recuse Himself,Brooks Barnes,They argued that Judge Mark E. Walker’s comments in two unrelated proceedings displayed a bias toward the company.,https://www.nytimes.com/2023/05/19/business/disney-ron-desantis-florida.html
JetBlue-American Partnership Struck Down by Federal Judge,Joe Rennison and Niraj Chokshi,An alliance begun in 2021 at four airports in the New York area and Boston allowed the airlines to sell tickets on each other’s flights and share revenue.,https://www.nytimes.com/2023/05/19/business/jetblue-american-northeast-alliance-justice-department.html
"In a Sharp Reversal, Biden Opens a Path for Ukraine to Get Fighter Jets","David E. Sanger, Jim Tankersley, Michael Crowley and Eric Schmitt","The president told allied leaders that he would allow Ukrainian pilots to be trained on American-made F-16s, and is prepared to approve other countries’ transferring the jets to Ukraine.",https://www.nytimes.com/2023/05/19/world/europe/ukraine-f-16s-biden-russia.html
Powell Says Inflation Remains Too High,Alan Rappeport and Joe Rennison,The Fed chair said that it would take “some time” for inflation to moderate and that the central bank would continue to look at data as it considers whether to raise rates next month.,https://www.nytimes.com/2023/05/19/business/jerome-powell-fed-inflation-interest-rates.html
"James Gorman, Morgan Stanley’s Long-Serving C.E.O., Will Step Down Within a Year",Rob Copeland,"A successor to Mr. Gorman has not been identified, but he said there were three internal candidates.",https://www.nytimes.com/2023/05/19/business/james-gorman-morgan-stanley-ceo.html
China’s Tech Giants Signal the First Steps in a Bumpy Recovery,Chang Che,"The economy is open again, helping Alibaba, Baidu and Tencent claw back in the first quarter from a miserable 2022, though they are likely to face continuing skepticism from investors.",https://www.nytimes.com/2023/05/19/technology/alibaba-baidu-tencent-q1-earnings.html
NASA Picks Blue Origin’s Blue Moon Lander for Artemis V Mission,Kenneth Chang,"After losing out to SpaceX, Jeff Bezos’ rocket company will get a chance to carry astronauts to the moon’s surface on a mission scheduled for 2029.",https://www.nytimes.com/2023/05/19/science/nasa-artemis-moon-bezos-blue-origin.html
"1 in 5 Young Chinese Is Jobless, and Millions More Are About to Graduate",Claire Fu,"The youth unemployment rate, which spiked during the pandemic, reached a record high this week, showing the perils of China’s uneven economic recovery.",https://www.nytimes.com/2023/05/19/business/china-youth-unemployment.html
"Volkswagen Sells Its Russia Operations, Including an Assembly Plant",Melissa Eddy,"The German automaker, which quit making cars in Russia after the invasion of Ukraine, said it had sold its plant to a local auto dealership chain.",https://www.nytimes.com/2023/05/19/business/volkswagen-russia-factory.html
Disney Inflicts a Blow to DeSantis Ahead of His Presidential Run,"Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",The entertainment giant’s move to cancel a major office project stung the Florida governor just days before he is expected to officially enter the 2024 race.,https://www.nytimes.com/2023/05/19/business/dealbook/disney-desantis-presidential-campaign.html
Amazon Is Everywhere. That’s What Makes It So Vulnerable.,Noam Scheiber,"For years, the e-commerce giant could shield its vast archipelago of warehouses against disruptions from workers. Then it got even bigger.",https://www.nytimes.com/2023/05/19/business/amazon-union-choke-points.html
